,team,possession,possession in contest,goals,date,hour,stage,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied,xg,attendance,stadium,referee,formation,touches,tackles,interceptions,aerials_won,clearances,gks,throw_ins,long_balls,rival,team_id,total attempts_against,goal inside the penalty area_against,goal outside the penalty area_against,assists_against,on target attempts_against,off target attempts_against,attempts inside the penalty area_against,attempts outside the penalty area_against,left channel_against,left inside channel_against,central channel_against,right inside channel_against,right channel_against,total offers to receive_against,inbehind offers to receive_against,inbetween offers to receive_against,infront offers to receive_against,receptions between midfield and defensive lines_against,attempted line breaks_against,completed line breaks_against,attempted defensive line breaks_against,completed defensive line breaks_against,yellow cards_against,red cards_against,fouls against_against,offsides_against,passes_against,passes completed_against,crosses_against,crosses completed_against,switches of play completed_against,corners_against,free kicks_against,penalties scored_against,goal preventions_against,own goals_against,forced turnovers_against,defensive pressures applied_against,xg_against,formation_against,touches_against,tackles_against,interceptions_against,aerials_won_against,clearances_against,gks_against,throw_ins_against,long_balls_against
88,Costa Rica,39%,13%,1,27-Nov-22,11:00,Group stage,4,0,1,0,1,1,1,1,3,8,0,3,1,4,429,77,177,175,1,154,85,4,0,3,0,9,2,444,371,5,0,7,0,22,0,14,0,66,294,0.1,41479,Ahmed bin Ali Stadium,Michael Oliver,3-4-3,584,25,9,13,20,10,15,78,Japan,202207,14,0,0,0,3,4,7,7,28,6,9,3,10,699,176,255,268,5,158,95,22,7,3,0,22,0,575,510,17,1,2,5,11,0,4,0,47,300,0.9,4-2-3-1,724,17,4,12,7,3,19,55
89,Morocco,32%,12%,2,27-Nov-22,14:00,Group stage,11,0,2,0,2,4,6,6,5,10,3,2,1,11,441,109,173,159,7,125,89,11,8,1,0,14,3,317,275,9,4,10,1,13,0,10,0,78,360,1.5,43738,Al Thumama Stadium,César Arturo Ramos,4-3-3,474,22,9,11,24,13,8,56,Belgium,202219,10,0,0,0,4,6,5,5,12,8,3,4,9,732,144,211,377,4,149,104,13,3,1,0,10,3,671,598,19,3,6,9,17,0,11,0,38,194,1.0,4-2-3-1,771,15,7,15,5,10,18,51
90,Canada,46%,13%,1,27-Nov-22,17:00,Group stage,9,4,1,0,1,2,3,2,7,8,4,3,4,13,592,121,247,224,6,201,134,15,6,2,0,5,3,511,434,15,5,7,2,14,0,13,0,72,316,0.4,44374,Khalifa International Stadium,Andrés Matonte,4-4-2,645,15,6,13,29,3,25,60,Croatia,202206,13,3,1,4,10,2,9,4,7,3,3,3,3,573,113,256,204,15,193,124,24,10,2,0,13,1,462,391,22,5,6,5,8,0,9,0,87,347,2.6,4-3-3,611,25,10,6,19,3,32,64
91,Germany,33%,11%,1,27-Nov-22,20:00,Group stage,10,1,1,0,1,4,5,7,3,3,3,4,3,8,440,108,177,155,9,143,83,17,7,3,0,11,5,352,281,13,1,2,5,15,0,7,0,101,387,1.3,68895,Al Bayt Stadium,Danny Makkelie,4-2-3-1,502,29,13,6,12,4,15,57,Spain,202213,7,1,0,1,3,4,3,4,12,3,2,1,5,633,90,270,273,16,186,146,19,13,1,0,13,2,647,565,9,2,9,6,16,0,11,0,79,275,0.6,4-3-3,774,17,8,9,13,7,23,60
92,Serbia,49%,13%,3,28-Nov-22,11:00,Group stage,16,3,2,1,3,6,8,11,5,20,4,16,5,12,583,124,261,198,11,184,122,22,12,2,0,13,4,513,433,23,4,5,3,8,0,13,0,81,234,1.9,39789,Al Janoub Stadium,Mohammed Abdulla Hassan,3-4-3,663,16,5,13,18,4,20,59,Cameroon,202226,13,3,0,3,8,3,9,4,5,3,5,4,15,419,103,149,167,15,173,78,22,12,2,0,8,0,364,271,20,1,5,4,17,0,16,0,83,285,2.2,4-3-3,491,8,19,15,22,9,24,82
93,Ghana,32%,15%,3,28-Nov-22,14:00,Group stage,8,2,3,0,2,3,3,7,1,8,3,4,3,7,389,72,157,160,5,122,66,12,5,2,0,9,1,319,260,13,4,3,5,14,0,21,0,75,324,1.6,43983,Education City Stadium,Anthony Taylor,4-2-3-1,494,17,6,18,50,10,13,64,Korea Republic,202214,21,2,0,2,6,8,15,6,22,5,6,8,27,695,175,234,286,19,201,148,24,19,2,0,13,1,540,477,46,16,16,12,10,0,8,0,53,220,1.8,4-2-3-1,695,15,2,22,19,3,23,89
94,Switzerland,40%,9%,0,28-Nov-22,17:00,Group stage,4,1,0,0,0,0,1,2,2,7,3,4,6,10,568,128,212,228,4,173,100,17,4,1,0,17,1,488,415,11,3,2,3,13,0,9,0,80,344,0.3,43649,Stadium 974,Iván Barton,4-2-3-1,616,18,4,5,26,10,18,55,Brazil,202228,9,1,0,1,5,2,6,3,19,12,5,5,11,659,154,218,287,16,164,114,20,11,1,0,10,3,565,498,26,3,6,8,18,0,4,0,85,282,1.0,4-3-3,710,21,10,8,9,2,24,43
95,Uruguay,35%,12%,0,28-Nov-22,20:00,Group stage,10,2,0,0,0,3,6,6,4,13,8,4,5,9,413,115,155,143,6,150,86,17,11,2,0,16,0,390,306,18,5,2,2,13,0,14,0,81,362,1.3,88668,Lusail Iconic Stadium,Alireza Faghani,3-5-2,533,12,12,7,12,11,18,49,Portugal,202231,14,1,1,0,4,7,4,10,17,9,4,9,11,752,142,327,283,11,170,112,11,7,3,0,10,2,596,517,16,4,9,6,15,1,11,0,68,226,1.3,4-1-2-1-2,735,10,7,15,17,8,19,72
96,Senegal,32%,17%,2,29-Nov-22,16:00,Group stage,15,1,2,0,0,5,8,11,4,14,0,2,7,10,268,76,115,77,12,153,84,20,12,1,0,11,3,269,198,20,5,6,6,22,1,8,0,62,243,2.1,44569,Khalifa International Stadium,Clément Turpin,4-2-3-1,427,10,10,17,29,6,17,71,Ecuador,202225,8,1,0,1,4,3,5,3,13,3,1,6,6,453,83,174,196,2,146,77,10,2,0,0,23,0,432,353,19,6,1,3,14,0,15,0,59,190,0.9,4-3-3,580,15,7,21,19,9,23,77
97,Qatar,38%,8%,0,29-Nov-22,16:00,Group stage,6,2,0,0,0,4,2,2,4,10,7,5,4,6,574,100,245,229,11,161,107,15,10,0,0,9,0,459,394,16,4,10,2,24,0,14,0,52,322,0.1,66784,Al Bayt Stadium,Bakary Papa Gassama,5-3-2,521,9,12,7,9,9,9,75,Netherlands,202223,13,2,0,1,4,5,10,3,25,9,8,11,21,785,157,322,306,16,185,165,13,10,1,0,19,4,795,740,11,1,1,4,9,0,5,0,62,319,1.6,3-4-1-2,913,16,10,10,11,7,13,41
98,England,58%,10%,3,29-Nov-22,20:00,Group stage,17,0,2,1,2,7,6,13,4,10,4,7,12,9,777,140,310,327,9,167,131,13,8,0,0,9,1,588,529,17,7,6,6,17,0,8,0,56,167,2.4,44297,Ahmed bin Ali Stadium,Slavko Vinčič,4-3-3,700,6,5,12,7,4,16,50,Wales,202211,7,0,0,0,1,3,1,6,7,1,2,0,4,388,71,138,179,1,104,55,4,1,2,0,16,1,325,261,4,1,1,1,10,0,17,0,49,328,0.3,4-2-3-1,443,12,7,9,17,7,18,70
99,United States,45%,13%,1,29-Nov-22,20:00,Group stage,12,0,1,0,1,5,4,8,4,11,7,7,5,17,697,133,262,302,17,185,133,27,16,1,0,10,1,470,413,22,2,8,5,15,0,6,0,74,302,1.2,42127,Al Thumama Stadium,Antonio Matéu,4-3-3,646,12,5,18,21,6,22,69,Iran,202230,6,0,0,0,2,4,5,1,12,2,5,3,4,492,94,223,175,9,195,102,23,8,3,0,13,2,463,379,18,3,11,1,11,0,13,0,63,295,0.4,4-4-1-1,619,22,12,18,18,7,21,92
100,Denmark,60%,16%,0,30-Nov-22,16:00,Group stage,14,1,0,0,0,3,7,11,3,27,5,4,6,19,640,146,259,235,17,241,172,21,17,1,0,10,3,650,567,32,5,9,6,12,0,8,0,74,161,0.6,41232,Al Janoub Stadium,Mustapha Ghorbal,4-3-3,827,11,7,17,19,4,27,106,Australia,202209,8,1,0,1,4,2,3,5,9,2,2,1,11,302,88,114,100,8,166,81,17,7,2,0,11,1,286,187,11,2,1,2,13,0,14,0,90,341,0.6,4-4-2,468,15,12,26,33,9,32,82
101,France,56%,14%,0,30-Nov-22,16:00,Group stage,9,1,0,0,0,3,4,4,5,14,6,5,3,21,630,96,212,322,11,138,99,10,4,0,0,6,2,636,566,20,5,3,8,17,0,6,0,80,202,0.8,43627,Education City Stadium,Matt Conger,4-3-3,808,37,13,13,21,9,27,64,Tunisia,202212,5,0,1,1,3,2,2,3,11,3,4,0,10,381,99,175,107,9,153,96,21,7,1,0,14,3,328,266,27,4,4,7,8,0,11,0,68,400,0.5,3-4-3,493,22,9,9,23,7,30,65
102,Mexico,55%,17%,2,30-Nov-22,20:00,Group stage,25,1,1,1,1,10,8,10,15,16,5,3,7,16,492,194,158,140,17,198,121,33,16,1,0,18,6,412,336,34,6,4,8,22,0,10,0,76,229,2.3,84985,Lusail Iconic Stadium,Michael Oliver,4-2-3-1,616,16,7,18,12,11,23,87,Saudi Arabia,202218,10,1,0,1,2,8,6,4,5,3,4,3,11,337,100,162,75,6,178,86,17,5,6,0,20,2,297,197,9,2,1,1,23,0,26,0,82,269,1.1,4-4-2,453,15,8,18,28,13,26,79
103,Argentina,67%,9%,2,30-Nov-22,20:00,Group stage,25,0,2,0,2,13,8,21,4,25,8,7,10,26,907,175,282,450,21,214,188,25,19,1,0,11,0,862,814,22,5,11,9,5,0,4,0,48,141,3.5,44089,Stadium 974,Danny Makkelie,4-3-3,996,13,5,12,9,2,18,39,Poland,202201,4,0,0,0,0,2,2,2,6,2,1,2,3,328,62,126,140,2,117,66,5,1,1,0,6,0,321,261,5,2,8,1,12,0,25,0,67,438,0.3,4-4-2,447,17,7,7,29,6,16,71
104,Morocco,36%,12%,2,1-Dec-22,16:00,Group stage,7,1,1,1,1,2,2,4,3,6,0,3,4,5,493,78,227,188,8,147,85,16,7,0,0,14,4,384,308,7,1,14,2,18,0,7,1,72,324,0.5,43102,Al Thumama Stadium,Raphael Claus,4-3-3,501,23,12,7,22,6,20,64,Canada,202219,5,0,0,0,0,4,4,1,22,4,2,6,11,703,189,211,303,8,153,91,21,8,4,0,14,4,539,472,20,4,3,6,18,0,7,0,66,224,1.4,4-4-1-1,659,13,7,10,8,5,23,50
105,Belgium,47%,10%,0,1-Dec-22,16:00,Group stage,15,0,0,0,0,4,7,12,3,18,5,7,4,9,581,123,181,277,12,177,115,26,14,1,0,9,0,596,531,24,8,4,4,11,0,11,0,68,346,3.0,43984,Ahmed bin Ali Stadium,Anthony Taylor,4-2-3-1,743,14,7,10,25,8,15,79,Croatia,202203,11,0,0,0,4,5,7,4,23,7,3,2,12,650,124,338,188,17,204,159,23,17,0,0,7,4,578,504,24,6,18,2,9,0,16,0,70,328,0.7,4-3-3,703,9,6,10,24,7,27,73
106,Spain,78%,8%,1,1-Dec-22,20:00,Group stage,14,2,1,0,1,5,3,7,7,30,9,6,11,22,1138,174,286,678,17,190,140,21,15,0,0,6,2,1070,992,20,2,9,2,11,0,6,0,49,150,1.0,44851,Khalifa International Stadium,Victor Gomes,4-3-3,1157,11,3,9,5,5,22,69,Japan,202227,6,1,1,2,3,2,4,2,2,3,1,2,5,315,77,106,132,10,104,57,14,8,3,0,9,2,225,167,6,3,2,0,8,0,14,0,85,637,1.4,3-4-3,356,11,17,10,26,5,11,41
107,Germany,60%,13%,4,1-Dec-22,20:00,Group stage,32,2,4,0,4,11,17,24,8,29,13,13,12,15,747,217,272,258,28,193,159,34,25,0,0,9,3,727,661,38,12,5,14,7,0,8,0,77,230,5.7,67054,Al Bayt Stadium,Stéphanie Frappart,4-2-3-1,877,10,5,9,8,2,18,60,Costa Rica,202213,8,2,0,0,6,1,6,2,7,5,3,1,1,344,100,156,88,10,154,103,13,7,1,0,3,4,347,269,12,3,4,1,12,0,32,0,79,378,1.3,5-4-1,509,21,8,12,45,13,15,74
108,Uruguay,39%,15%,2,2-Dec-22,16:00,Group stage,12,0,2,0,1,7,5,7,5,7,2,13,3,17,424,117,157,150,14,186,124,24,14,5,0,11,2,446,361,15,4,6,2,20,0,9,0,84,293,1.8,43443,Al Janoub Stadium,Daniel Siebert,4-4-2,610,23,10,21,22,5,24,65,Ghana,202231,9,0,0,0,4,4,4,5,12,5,8,4,12,597,154,247,196,8,188,111,13,5,2,0,18,2,460,377,20,2,3,5,12,0,12,0,92,248,1.6,4-2-3-1,620,23,7,11,17,9,32,63
109,Portugal,55%,11%,1,2-Dec-22,16:00,Group stage,12,2,1,0,1,4,6,5,7,23,7,5,8,12,740,159,195,386,12,178,123,21,12,0,0,11,5,606,541,22,6,11,4,10,0,12,0,50,233,1.3,44097,Education City Stadium,Facundo Tello,4-3-3,708,12,6,9,12,7,20,90,Korea Republic,202222,12,2,0,1,6,4,6,6,9,7,5,2,7,470,93,186,191,8,139,87,11,6,2,0,9,1,359,304,13,3,9,5,15,0,14,0,54,359,1.7,4-3-3,490,11,8,17,20,9,15,80
110,Switzerland,41%,14%,3,2-Dec-22,20:00,Group stage,14,2,3,0,3,7,3,10,4,14,7,3,1,12,456,108,193,155,10,157,95,20,8,4,0,13,0,403,325,13,4,9,0,18,0,10,0,82,253,2.7,41378,Stadium 974,Fernando Rapallini,4-2-3-1,550,10,12,15,18,8,22,78,Serbia,202228,11,2,0,1,4,6,10,1,17,6,4,4,10,577,92,214,271,7,157,95,10,5,7,0,18,0,476,390,23,6,7,2,14,0,14,0,74,276,1.3,3-4-1-2,601,13,6,19,9,7,23,72
111,Brazil,56%,13%,0,2-Dec-22,20:00,Group stage,19,1,0,0,0,6,11,14,5,20,5,6,7,13,643,145,328,170,9,181,145,15,9,2,0,14,1,548,491,28,8,3,11,14,0,7,0,54,226,2.5,85986,Lusail Iconic Stadium,Ismail Elfath,4-2-3-1,701,19,3,9,12,6,15,41,Cameroon,202204,7,1,0,1,3,3,5,2,8,8,4,4,9,397,88,144,165,9,144,92,16,7,5,1,14,0,295,239,12,3,4,3,15,0,20,0,78,321,0.5,4-2-3-1,447,22,10,15,32,16,11,55
112,United States,54%,13%,1,3-Dec-22,16:00,Round of 16,18,3,1,0,1,7,4,11,7,13,8,4,9,15,820,179,360,281,17,187,126,28,17,0,0,5,3,567,487,27,2,5,5,10,0,13,0,77,256,1.5,44846,Khalifa International Stadium,Wilton Sampaio,4-3-3,732,14,11,11,12,6,21,64,Netherlands,202230,11,3,0,3,6,4,7,4,4,2,4,7,10,404,73,200,131,8,161,95,17,7,2,0,10,0,396,320,13,4,4,4,8,0,18,0,101,325,1.7,3-4-1-2,569,22,12,12,30,7,16,74
113,Australia,35%,12%,1,3-Dec-22,20:00,Round of 16,5,2,0,0,0,2,2,3,2,8,1,2,6,9,538,105,184,249,8,146,92,12,7,2,0,15,0,450,381,15,2,8,3,11,0,14,0,73,453,0.6,45032,Ahmed bin Ali Stadium,Szymon Marciniak,4-4-2,573,11,8,14,10,10,23,84,Argentina,202202,14,2,0,1,5,7,11,3,15,6,11,2,17,869,131,337,401,8,181,135,16,8,0,0,8,4,711,635,6,1,5,1,15,0,5,1,67,240,1.6,4-3-3,827,15,7,13,20,4,24,47
114,Poland,42%,10%,1,4-Dec-22,16:00,Round of 16,11,3,1,0,0,3,5,8,3,15,2,2,3,10,501,124,224,153,11,156,97,20,12,2,0,8,1,466,391,18,7,5,1,11,1,16,0,64,297,1.7,40989,Al Thumama Stadium,Jesús Valenzuela,4-1-4-1,586,17,6,11,23,4,13,48,France,202221,16,3,0,3,7,7,10,6,15,7,2,9,19,568,118,207,243,14,174,111,26,14,1,0,10,3,540,481,27,4,4,7,8,0,11,0,71,220,1.4,4-2-3-1,685,11,9,12,10,11,19,61
115,Senegal,35%,11%,0,4-Dec-22,20:00,Round of 16,10,3,0,0,0,2,6,4,6,8,1,0,4,9,489,95,193,201,7,159,86,15,7,1,0,12,0,393,320,13,3,7,3,16,0,8,0,74,339,0.8,65985,Al Bayt Stadium,Iván Barton,4-2-3-1,489,11,6,18,17,6,15,65,England,202225,8,3,0,3,4,4,7,1,17,6,2,2,13,794,140,276,378,11,184,129,16,12,0,0,16,0,597,523,19,7,11,3,12,0,10,0,60,230,1.0,4-3-3,718,21,9,9,10,11,18,79
116,Croatia,51%,14%,1,5-Dec-22,16:00,Round of 16,16,1,1,0,1,4,8,9,7,18,7,9,6,28,717,175,247,295,14,232,132,20,11,2,0,16,0,735,624,35,9,7,5,16,0,11,0,100,308,1.4,42523,Al Janoub Stadium,Ismail Elfath,4-3-3,941,14,5,33,32,9,28,81,Japan,202208,12,1,0,1,4,4,5,7,14,6,6,6,18,692,157,270,265,8,229,116,21,8,0,0,13,3,532,414,28,6,5,8,16,0,18,0,100,405,1.2,3-4-3,714,13,7,25,30,8,29,95
117,Korea Republic,44%,9%,1,5-Dec-22,20:00,Round of 16,10,4,0,1,0,6,2,6,4,19,4,3,5,21,547,116,270,161,15,188,137,20,14,1,0,13,5,548,486,14,1,13,4,8,0,18,0,81,329,0.5,43847,Stadium 974,Clément Turpin,4-4-2,659,21,11,12,11,8,13,56,Brazil,202217,18,4,0,3,9,8,14,4,20,5,5,7,15,666,149,257,260,17,193,145,21,17,0,0,8,0,616,556,18,4,9,5,16,1,10,0,73,310,3.6,4-2-3-1,738,15,12,7,10,6,15,47
118,Spain,68%,10%,0,6-Dec-22,16:00,Round of 16,13,0,0,0,0,1,6,9,4,36,10,8,19,29,896,182,279,435,27,219,158,37,25,1,0,14,4,1041,967,27,4,8,8,20,0,6,0,66,217,1.0,44667,Education City Stadium,Fernando Rapallini,4-3-3,1190,11,4,14,15,10,33,78,Morocco,202227,6,0,0,0,3,3,3,3,11,1,0,2,8,438,103,176,159,10,164,86,22,9,1,0,15,5,323,229,10,4,4,0,18,0,14,0,100,573,0.7,4-3-3,514,26,8,10,41,13,29,72
119,Switzerland,48%,9%,1,6-Dec-22,20:00,Round of 16,10,6,1,0,0,1,7,5,5,18,2,6,2,8,617,115,240,262,8,167,107,17,7,2,0,10,3,512,436,15,1,3,6,15,0,15,0,54,240,1.2,83720,Lusail Iconic Stadium,César Arturo Ramos,3-1-4-2,607,5,5,11,14,5,27,54,Portugal,202228,14,6,0,5,9,2,9,5,8,3,6,6,8,614,134,241,239,9,165,98,16,8,0,0,12,3,461,392,14,6,7,6,13,0,10,0,71,357,2.3,4-3-3,571,16,8,10,11,5,18,74
120,Brazil,45%,10%,1,9-Dec-22,16:00,Quarter-final,20,1,1,0,1,11,4,12,8,25,10,15,8,20,737,153,239,345,11,185,121,19,10,3,0,24,3,695,625,25,6,4,7,25,0,9,0,77,423,2.5,43893,Education City Stadium,Michael Oliver,4-2-3-1,877,16,13,11,16,7,24,49,Croatia,202204,9,1,0,1,1,4,5,4,19,4,2,5,27,674,156,250,268,10,240,180,16,10,2,0,22,3,715,632,22,5,13,3,27,0,21,0,95,365,0.6,4-3-3,887,28,9,13,32,10,12,66
121,Argentina,44%,11%,2,9-Dec-22,20:00,Quarter-final,15,2,2,0,1,6,8,5,10,7,7,13,6,17,644,97,278,269,7,203,122,24,8,8,0,18,2,603,511,16,4,4,8,30,1,5,0,79,323,1.9,88235,Lusail Iconic Stadium,Antonio Matéu,5-3-2,758,19,6,12,20,9,19,57,Netherlands,202201,5,2,0,2,2,2,3,2,11,7,9,3,15,722,117,278,327,5,194,130,15,6,8,1,30,1,651,557,22,4,5,2,20,0,15,0,91,401,0.6,3-4-1-2,804,18,15,19,17,9,29,93
122,Portugal,65%,13%,0,10-Dec-22,16:00,Quarter-final,11,1,0,0,0,3,6,7,4,27,10,8,7,20,780,205,208,367,19,167,118,23,18,1,0,9,2,678,592,33,7,9,9,17,0,10,0,44,165,0.9,44198,Al Thumama Stadium,Facundo Tello,4-3-3,802,12,9,13,3,9,27,73,Morocco,202222,9,1,0,1,3,6,5,4,4,1,4,1,3,339,68,150,121,6,128,63,13,3,3,1,15,2,229,171,8,3,4,3,11,0,11,0,88,373,1.4,4-3-3,395,12,9,11,36,12,11,61
123,France,36%,10%,2,10-Dec-22,20:00,Quarter-final,9,1,1,1,2,5,3,6,3,15,2,7,2,13,401,84,136,181,7,136,87,14,8,3,0,14,2,369,310,13,6,2,2,11,0,15,0,54,308,0.9,68895,Al Bayt Stadium,Wilton Sampaio,4-2-3-1,499,10,5,19,16,5,14,62,England,202212,14,1,0,0,6,4,6,8,17,6,4,2,10,661,127,312,222,8,147,108,13,10,1,0,10,1,508,453,22,5,5,5,14,1,9,0,49,193,2.4,4-3-3,635,16,8,18,13,9,16,61
124,Croatia,54%,12%,0,13-Dec-22,20:00,Semi-final,12,3,0,0,0,3,7,6,6,18,6,7,4,8,643,136,291,216,3,182,129,9,1,2,0,8,0,624,551,20,4,8,4,16,0,10,0,63,260,0.5,88966,Lusail Iconic Stadium,Daniele Orsato,4-3-3,739,19,5,7,6,4,21,43,Argentina,202208,10,3,0,1,7,2,7,3,8,9,7,3,2,349,89,122,138,7,147,91,17,7,2,0,15,1,408,344,8,2,4,2,6,1,12,0,85,321,2.3,4-4-2,541,22,8,6,22,9,19,49
125,Morocco,55%,11%,0,14-Dec-22,20:00,Semi-final,13,2,0,0,0,1,6,8,5,10,4,6,6,19,702,136,314,252,15,141,95,18,11,1,0,11,3,583,518,22,1,8,3,15,0,14,0,47,218,0.9,68294,Al Bayt Stadium,César Arturo Ramos,5-4-1,696,15,8,10,3,10,18,40,France,202219,14,2,0,0,2,8,12,2,9,6,3,2,6,330,82,99,149,8,126,85,12,8,0,0,11,4,358,307,5,2,1,2,13,0,13,0,72,328,1.9,4-2-3-1,510,22,19,15,16,8,14,55
126,Morocco,45%,10%,1,17-Dec-22,16:00,3rd place,7,2,1,0,0,2,5,5,2,13,1,3,7,16,609,127,202,280,10,150,97,14,8,2,0,11,2,494,428,20,5,12,3,15,0,14,0,72,277,1.2,44137,Khalifa International Stadium,Abdulrahman Ibrahim Al Jassim,4-3-3,609,10,10,8,16,11,19,46,Croatia,202219,14,2,0,2,4,8,7,7,20,8,3,2,7,519,117,198,204,15,164,114,23,12,0,0,13,2,491,430,21,3,7,6,13,0,7,0,75,288,0.7,4-2-3-1,624,20,8,6,19,12,14,53
127,France,40%,14%,3,18-Dec-22,16:00,Final,10,3,3,0,1,5,3,7,3,15,7,5,4,12,507,105,207,195,10,163,99,14,9,3,0,19,4,516,419,24,3,5,5,28,2,21,0,104,409,2.2,88966,Lusail Iconic Stadium,Szymon Marciniak,4-2-3-1,737,26,10,22,18,13,21,94,Argentina,202212,21,3,0,1,9,9,10,11,13,6,8,9,9,607,146,257,204,43,223,151,38,23,4,0,26,4,648,544,20,4,6,6,22,1,11,0,87,280,3.3,4-3-3,845,23,10,9,24,6,26,73
