,team,possession,possession in contest,goals,date,hour,stage,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied,xg,attendance,stadium,referee,formation,touches,tackles,interceptions,aerials_won,clearances,gks,throw_ins,long_balls,rival,team_id,total attempts_against,goal inside the penalty area_against,goal outside the penalty area_against,assists_against,on target attempts_against,off target attempts_against,attempts inside the penalty area_against,attempts outside the penalty area_against,left channel_against,left inside channel_against,central channel_against,right inside channel_against,right channel_against,total offers to receive_against,inbehind offers to receive_against,inbetween offers to receive_against,infront offers to receive_against,receptions between midfield and defensive lines_against,attempted line breaks_against,completed line breaks_against,attempted defensive line breaks_against,completed defensive line breaks_against,yellow cards_against,red cards_against,fouls against_against,offsides_against,passes_against,passes completed_against,crosses_against,crosses completed_against,switches of play completed_against,corners_against,free kicks_against,penalties scored_against,goal preventions_against,own goals_against,forced turnovers_against,defensive pressures applied_against,xg_against,formation_against,touches_against,tackles_against,interceptions_against,aerials_won_against,clearances_against,gks_against,throw_ins_against,long_balls_against
20,Tunisia,50%,19%,0,26-Nov-22,11:00,Group stage,13,1,0,0,0,4,5,9,4,12,8,7,6,11,710,166,291,253,13,200,109,23,11,3,0,16,3,501,396,23,5,6,5,15,0,9,0,81,217,0.9,41823,Al Janoub Stadium,Daniel Siebert,3-4-3,687,18,8,26,24,5,40,99,Australia,202229,8,1,0,1,2,3,5,3,11,3,4,7,19,342,108,120,114,8,171,91,19,10,0,0,15,0,334,239,23,4,2,2,19,0,13,0,88,273,0.6,4-4-2,551,19,11,24,38,8,22,83
21,Poland,30%,14%,2,26-Nov-22,14:00,Group stage,8,0,2,0,1,3,3,8,0,7,2,4,8,13,428,140,164,124,14,150,84,22,12,3,0,18,0,303,236,19,8,5,4,15,0,16,0,69,329,1.6,44259,Education City Stadium,Wilton Sampaio,4-4-2,454,13,9,15,29,14,21,80,Saudi Arabia,202221,16,0,0,0,5,9,9,7,21,6,5,7,15,661,156,264,241,22,205,153,27,19,2,0,15,0,560,494,24,4,13,5,17,0,9,0,53,173,1.7,4-1-4-1,687,14,9,20,13,7,20,58
22,France,44%,12%,2,26-Nov-22,17:00,Group stage,21,1,2,0,2,6,8,16,5,15,7,4,1,13,630,111,226,293,11,155,105,16,12,1,0,4,1,503,437,23,12,7,6,10,0,10,0,79,269,2.4,42860,Stadium 974,Szymon Marciniak,4-2-3-1,642,20,10,9,15,11,22,74,Denmark,202212,10,1,0,1,2,6,5,5,13,5,3,4,25,615,171,268,176,17,173,132,23,15,2,0,9,1,537,473,18,4,14,4,5,0,21,0,61,282,0.6,3-4-3,677,19,5,14,18,6,22,62
23,Argentina,50%,14%,2,26-Nov-22,20:00,Group stage,5,0,1,1,2,2,3,2,3,10,6,2,4,12,569,103,244,222,2,150,100,10,5,1,0,15,2,533,464,14,2,3,4,23,0,4,0,63,220,0.3,88966,Lusail Iconic Stadium,Daniele Orsato,4-4-2,668,14,7,15,18,6,21,41,Mexico,202201,4,0,0,0,1,2,1,3,8,1,1,2,11,373,78,151,144,5,127,66,13,5,4,0,19,4,356,287,17,4,2,2,17,0,5,0,79,327,0.3,5-3-2,503,18,13,14,17,8,19,54
24,Japan,48%,13%,0,27-Nov-22,11:00,Group stage,14,1,0,0,0,3,4,7,7,28,6,9,3,10,699,176,255,268,5,158,95,22,7,3,0,22,0,575,510,17,1,2,5,11,0,4,0,47,300,0.9,41479,Ahmed bin Ali Stadium,Michael Oliver,4-2-3-1,724,17,4,12,7,3,19,55,Costa Rica,202216,4,1,0,1,1,1,1,3,8,0,3,1,4,429,77,177,175,1,154,85,4,0,3,0,9,2,444,371,5,0,7,0,22,0,14,0,66,294,0.1,3-4-3,584,25,9,13,20,10,15,78
25,Belgium,56%,12%,0,27-Nov-22,14:00,Group stage,10,2,0,0,0,4,6,5,5,12,8,3,4,9,732,144,211,377,4,149,104,13,3,1,0,10,3,671,598,19,3,6,9,17,0,11,0,38,194,1.0,43738,Al Thumama Stadium,César Arturo Ramos,4-2-3-1,771,15,7,15,5,10,18,51,Morocco,202203,11,2,0,2,4,6,6,5,10,3,2,1,11,441,109,173,159,7,125,89,11,8,1,0,14,3,317,275,9,4,10,1,13,0,10,0,78,360,1.5,4-3-3,474,22,9,11,24,13,8,56
26,Croatia,41%,13%,4,27-Nov-22,17:00,Group stage,13,1,3,1,4,10,2,9,4,7,3,3,3,3,573,113,256,204,15,193,124,24,10,2,0,13,1,462,391,22,5,6,5,8,0,9,0,87,347,2.6,44374,Khalifa International Stadium,Andrés Matonte,4-3-3,611,25,10,6,19,3,32,64,Canada,202208,9,1,0,1,2,3,2,7,8,4,3,4,13,592,121,247,224,6,201,134,15,6,2,0,5,3,511,434,15,5,7,2,14,0,13,0,72,316,0.4,4-4-2,645,15,6,13,29,3,25,60
27,Spain,56%,11%,1,27-Nov-22,20:00,Group stage,7,1,1,0,1,3,4,3,4,12,3,2,1,5,633,90,270,273,16,186,146,19,13,1,0,13,2,647,565,9,2,9,6,16,0,11,0,79,275,0.6,68895,Al Bayt Stadium,Danny Makkelie,4-3-3,774,17,8,9,13,7,23,60,Germany,202227,10,1,0,1,4,5,7,3,3,3,4,3,8,440,108,177,155,9,143,83,17,7,3,0,11,5,352,281,13,1,2,5,15,0,7,0,101,387,1.3,4-2-3-1,502,29,13,6,12,4,15,57
28,Cameroon,38%,13%,3,28-Nov-22,11:00,Group stage,13,3,3,0,3,8,3,9,4,5,3,5,4,15,419,103,149,167,15,173,78,22,12,2,0,8,0,364,271,20,1,5,4,17,0,16,0,83,285,2.2,39789,Al Janoub Stadium,Mohammed Abdulla Hassan,4-3-3,491,8,19,15,22,9,24,82,Serbia,202205,16,2,1,3,6,8,11,5,20,4,16,5,12,583,124,261,198,11,184,122,22,12,2,0,13,4,513,433,23,4,5,3,8,0,13,0,81,234,1.9,3-4-3,663,16,5,13,18,4,20,59
29,Korea Republic,53%,15%,2,28-Nov-22,14:00,Group stage,21,3,2,0,2,6,8,15,6,22,5,6,8,27,695,175,234,286,19,201,148,24,19,2,0,13,1,540,477,46,16,16,12,10,0,8,0,53,220,1.8,43983,Education City Stadium,Anthony Taylor,4-2-3-1,695,15,2,22,19,3,23,89,Ghana,202217,8,3,0,2,3,3,7,1,8,3,4,3,7,389,72,157,160,5,122,66,12,5,2,0,9,1,319,260,13,4,3,5,14,0,21,0,75,324,1.6,4-2-3-1,494,17,6,18,50,10,13,64
